model_slug,model,storage,current_min,current_max,restore_max,opt_price,opt_url,spot_median,spot_count,spot_url,spot_notes,source_confidence
iphone-13-pro,iPhone 13 Pro,128 ГБ,18000,20000,20100,31800,https://opt-express.ru/catalog/smartfony/b-u/apple/iphone-13-pro/,26990,3,https://www.bestphone.ru/catalog/b_u_iphone_13_pro/filter/clear/apply/,Медиана трёх актуальных карточек BestPhone,high
iphone-13-pro,iPhone 13 Pro,256 ГБ,19500,22000,22300,34500,https://opt-express.ru/catalog/smartfony/b-u/apple/iphone-13-pro/,29690,1,https://www.bestphone.ru/catalog/b_u_iphone_13_pro/filter/clear/apply/,Одна актуальная карточка BestPhone,medium
iphone-13-pro,iPhone 13 Pro,512 ГБ,22000,24500,24800,36500,https://opt-express.ru/catalog/smartfony/b-u/apple/iphone-13-pro/,,,https://www.bestphone.ru/catalog/b_u_iphone_13_pro/filter/clear/apply/,Отдельная розничная карточка не найдена,low
iphone-13-pro,iPhone 13 Pro,1 ТБ,23500,26500,26900,38000,https://opt-express.ru/catalog/smartfony/b-u/apple/iphone-13-pro/,,,https://www.bestphone.ru/catalog/b_u_iphone_13_pro/filter/clear/apply/,Отдельная розничная карточка не найдена,low
iphone-14-pro,iPhone 14 Pro,128 ГБ,23000,26000,26100,39000,https://opt-express.ru/catalog/smartfony/b-u/apple/iphone-14-pro/,33590,1,https://mobile-outlet.ru/collection/iphone-14-pro-bu,Одна актуальная карточка Mobile Outlet,medium
iphone-14-pro,iPhone 14 Pro,256 ГБ,26500,29500,29900,41500,https://opt-express.ru/catalog/smartfony/b-u/apple/iphone-14-pro/,35590,3,https://mobile-outlet.ru/collection/iphone-14-pro-bu,Медиана трёх цен Mobile Outlet,high
iphone-14-pro,iPhone 14 Pro,512 ГБ,29500,33000,33400,44700,https://opt-express.ru/catalog/smartfony/b-u/apple/iphone-14-pro/,,,https://mobile-outlet.ru/collection/iphone-14-pro-bu,Отдельная розничная карточка не найдена,low
iphone-14-pro,iPhone 14 Pro,1 ТБ,33500,37500,37900,46200,https://opt-express.ru/catalog/smartfony/b-u/apple/iphone-14-pro/,,,https://mobile-outlet.ru/collection/iphone-14-pro-bu,Отдельная розничная карточка не найдена,low
iphone-14-pro-max,iPhone 14 Pro Max,128 ГБ,27000,30000,30200,42000,https://opt-express.ru/catalog/smartfony/b-u/apple/,34990,5,https://bestphone.ru/catalog/b_u_iphone_14_pro_max/,Медиана пяти актуальных карточек BestPhone,high
iphone-14-pro-max,iPhone 14 Pro Max,256 ГБ,30500,34000,34400,46200,https://opt-express.ru/catalog/smartfony/b-u/apple/,38390,6,https://bestphone.ru/catalog/b_u_iphone_14_pro_max/,Медиана шести актуальных карточек BestPhone; отдельно подтверждены предложения PhoneTrade и DoctorApple,high
iphone-14-pro-max,iPhone 14 Pro Max,512 ГБ,34000,38000,38000,47700,https://opt-express.ru/catalog/smartfony/b-u/apple/,41390,1,https://bestphone.ru/catalog/b_u_iphone_14_pro_max/,Одна актуальная карточка BestPhone,medium
iphone-14-pro-max,iPhone 14 Pro Max,1 ТБ,37000,41500,41900,53700,https://opt-express.ru/catalog/smartfony/b-u/apple/,,,https://bestphone.ru/catalog/b_u_iphone_14_pro_max/,Отдельная розничная карточка не найдена,low
iphone-16-pro,iPhone 16 Pro,128 ГБ,40000,44500,44800,58700,https://opt-express.ru/catalog/smartfony/b-u/apple/,,,https://moskva.mobilo4ka.ru/bu-tehnika/apple-bu/iphone-bu/iphone-16-pro-bu/256gb/,Отдельная розничная карточка для 128 ГБ не найдена,low
iphone-16-pro,iPhone 16 Pro,256 ГБ,42500,47500,47800,63700,https://opt-express.ru/catalog/smartfony/b-u/apple/,60990,1,https://moskva.mobilo4ka.ru/bu-tehnika/apple-bu/iphone-bu/iphone-16-pro-bu/256gb/,Одна актуальная карточка Mobilo4ka,medium
iphone-16-pro,iPhone 16 Pro,512 ГБ,45500,51000,51400,71800,https://opt-express.ru/catalog/smartfony/b-u/apple/,,,https://opt-express.ru/catalog/smartfony/b-u/apple/,Отдельная розничная карточка не найдена,low
iphone-16-pro,iPhone 16 Pro,1 ТБ,53500,59500,59900,77100,https://opt-express.ru/catalog/smartfony/b-u/apple/,,,https://opt-express.ru/catalog/smartfony/b-u/apple/,Отдельная розничная карточка не найдена,low
iphone-16-pro-max,iPhone 16 Pro Max,256 ГБ,48000,53500,53800,69400,https://opt-express.ru/catalog/smartfony/b-u/apple/,66990,5,https://bestphone.ru/catalog/b_u_iphone_16_pro_max/,Медиана пяти актуальных карточек BestPhone; более высокие предложения MaxMobiles и Mobile Outlet использованы как проверка диапазона,high
iphone-16-pro-max,iPhone 16 Pro Max,512 ГБ,53500,59500,59800,73400,https://opt-express.ru/catalog/smartfony/b-u/apple/,,,https://mobile-outlet.ru/collection/iphone-16-pro-max-bu,Найден рыночный раздел без достаточной выборки конкретных карточек 512 ГБ,low
iphone-16-pro-max,iPhone 16 Pro Max,1 ТБ,67000,74500,74900,89400,https://opt-express.ru/catalog/smartfony/b-u/apple/,74990,1,https://appzone.store/catalog/iphone-b-u/iphone-16-pro-max-b-u/apple-iphone-16-pro-max-1tb-chernyy-titan-b-u/,Одна акционная карточка AppZone; считаем консервативным низким ориентиром,low
